NO,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5,RSSI6,TARGET
532,-74,-81,-67,-77,-82,-83,11
533,-73,-79,-66,-76,-83,-85,11
534,-74,-79,-66,-78,-85,-88,11
535,-73,-78,-66,-78,-85,-82,11
536,-74,-79,-66,-79,-85,-72,11
537,-73,-78,-65,-78,-84,-86,11
538,-73,-78,-66,-72,-84,-73,11
539,-72,-78,-66,-78,-84,-84,11
540,-75,-79,-67,-78,-82,-83,11
541,-74,-79,-66,-79,-83,-82,11
542,-74,-74,-62,-78,-83,-74,11
543,-74,-80,-66,-78,-83,-84,11
544,-74,-78,-65,-78,-83,-86,11
545,-74,-78,-65,-77,-85,-87,11
546,-73,-79,-65,-78,-84,-82,11
547,-74,-80,-66,-79,-83,-72,11
548,-72,-79,-65,-78,-83,-80,11
549,-73,-79,-66,-78,-82,-80,11
550,-73,-81,-67,-78,-82,-80,11
551,-73,-79,-66,-76,-82,-78,11
552,-72,-79,-66,-77,-83,-80,11
553,-71,-79,-66,-78,-82,-79,11
554,-73,-80,-65,-72,-84,-78,11
555,-73,-79,-66,-76,-82,-79,11
556,-73,-80,-62,-71,-82,-80,11
557,-73,-79,-65,-75,-83,-79,11
558,-74,-78,-66,-71,-83,-84,11
559,-71,-79,-64,-77,-82,-72,11
560,-72,-79,-65,-75,-84,-77,11
561,-72,-78,-65,-74,-82,-75,11
562,-72,-78,-65,-72,-83,-74,11
563,-72,-77,-66,-74,-82,-77,11
564,-72,-75,-64,-74,-81,-77,11
565,-71,-79,-66,-72,-86,-73,11
566,-72,-79,-63,-75,-84,-74,11
567,-71,-79,-66,-75,-82,-79,11
568,-71,-79,-66,-74,-82,-75,11
569,-72,-79,-65,-74,-83,-77,11
570,-72,-79,-66,-74,-83,-77,11
571,-73,-80,-65,-75,-82,-77,11
572,-71,-79,-63,-71,-81,-72,11
573,-72,-78,-64,-74,-83,-73,11
574,-72,-79,-66,-73,-83,-76,11
575,-72,-78,-66,-73,-82,-75,11
576,-72,-79,-66,-74,-82,-77,11
577,-72,-78,-67,-73,-82,-73,11
578,-72,-79,-66,-74,-81,-75,11
579,-73,-80,-65,-75,-81,-73,11
580,-70,-75,-63,-72,-83,-74,11
581,-72,-79,-65,-74,-81,-76,11
582,-72,-74,-61,-73,-85,-73,11
583,-74,-79,-66,-74,-82,-78,11
584,-72,-80,-66,-74,-83,-76,11
585,-74,-79,-67,-73,-82,-76,11
586,-73,-74,-63,-71,-84,-72,11
587,-75,-79,-65,-73,-82,-71,11
588,-77,-79,-65,-75,-83,-77,11
589,-73,-79,-65,-74,-82,-77,11
590,-72,-75,-65,-77,-82,-72,11
591,-72,-78,-66,-75,-83,-77,11
592,-72,-78,-65,-70,-82,-78,11
593,-73,-78,-65,-74,-83,-78,11
594,-73,-79,-65,-74,-82,-79,11
595,-74,-79,-64,-75,-82,-79,11
596,-73,-79,-65,-74,-81,-78,11
597,-70,-75,-65,-74,-82,-77,11
598,-70,-74,-62,-71,-84,-71,11
599,-72,-79,-66,-73,-81,-75,11
600,-72,-78,-65,-74,-83,-76,11
601,-73,-78,-64,-73,-83,-79,11
602,-72,-78,-66,-74,-84,-76,11
603,-72,-80,-66,-75,-81,-75,11
604,-74,-79,-66,-74,-82,-77,11
605,-70,-74,-65,-71,-84,-76,11
606,-70,-75,-65,-74,-84,-75,11
607,-71,-75,-66,-72,-84,-73,11
608,-73,-79,-66,-75,-81,-75,11
609,-71,-74,-66,-72,-83,-71,11
610,-73,-79,-66,-75,-82,-77,11
611,-73,-79,-65,-75,-82,-78,11
612,-73,-79,-66,-76,-82,-76,11
613,-73,-79,-66,-77,-81,-77,11
614,-69,-75,-64,-79,-80,-76,11
615,-70,-80,-62,-73,-83,-74,11
616,-73,-75,-65,-78,-82,-77,11
617,-74,-78,-65,-75,-82,-76,11
618,-74,-79,-66,-73,-83,-77,11
619,-73,-79,-67,-73,-81,-74,11
620,-70,-75,-63,-73,-82,-74,11
621,-74,-78,-66,-77,-82,-78,11
622,-70,-78,-65,-72,-82,-78,11
623,-74,-78,-64,-76,-83,-80,11
624,-73,-78,-65,-76,-83,-78,11
